,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
343,Andhra Pradesh,2021,3,520002,5320101,14633600592,TOTAL
344,Andhra Pradesh,2021,3,517507,4866065,9768221618,TOTAL
345,Andhra Pradesh,2021,3,522001,4242875,11355623169,TOTAL
346,Andhra Pradesh,2021,3,530016,4177023,7797927714,TOTAL
347,Andhra Pradesh,2021,3,515001,4040160,8752025049,TOTAL
348,Andhra Pradesh,2021,3,516001,3370675,8720115499,TOTAL
349,Andhra Pradesh,2021,3,520010,3206301,6832329072,TOTAL
350,Andhra Pradesh,2021,4,524002,14158439,30358274591,TOTAL
351,Andhra Pradesh,2021,4,530026,10216678,24428085477,TOTAL
352,Andhra Pradesh,2021,4,517501,7246667,13514835187,TOTAL
353,Andhra Pradesh,2021,4,517507,5790910,11415016234,TOTAL
354,Andhra Pradesh,2021,4,520002,5716025,15397268124,TOTAL
355,Andhra Pradesh,2021,4,530016,5252680,9484946023,TOTAL
356,Andhra Pradesh,2021,4,522001,4989759,13298088500,TOTAL
357,Andhra Pradesh,2021,4,515001,4892740,10235401678,TOTAL
358,Andhra Pradesh,2021,4,520010,4198904,8551737728,TOTAL
359,Andhra Pradesh,2021,4,516001,4058071,10324818012,TOTAL
360,Andhra Pradesh,2022,1,524002,16133298,35123754551,TOTAL
361,Andhra Pradesh,2022,1,530026,10293117,25355928766,TOTAL
362,Andhra Pradesh,2022,1,517501,8062447,14807178133,TOTAL
363,Andhra Pradesh,2022,1,517507,6660899,12913687867,TOTAL
364,Andhra Pradesh,2022,1,520002,6254668,16297042494,TOTAL
365,Andhra Pradesh,2022,1,522001,5691035,15226428278,TOTAL
366,Andhra Pradesh,2022,1,515001,5585462,11393585212,TOTAL
367,Andhra Pradesh,2022,1,530016,5554647,9991176892,TOTAL
368,Andhra Pradesh,2022,1,516001,4513789,11365056780,TOTAL
369,Andhra Pradesh,2022,1,520010,4492155,9108501442,TOTAL
370,Andhra Pradesh,2022,2,524002,18822839,40556750378,TOTAL
371,Andhra Pradesh,2022,2,530026,12256092,29600523030,TOTAL
372,Andhra Pradesh,2022,2,517501,9320394,17071503296,TOTAL
373,Andhra Pradesh,2022,2,517507,7667416,14863715365,TOTAL
374,Andhra Pradesh,2022,2,520002,7584902,19447767872,TOTAL
375,Andhra Pradesh,2022,2,530016,6470271,11522114399,TOTAL
376,Andhra Pradesh,2022,2,515001,6291639,12847256630,TOTAL
377,Andhra Pradesh,2022,2,522001,6073875,16041957320,TOTAL
378,Andhra Pradesh,2022,2,520010,5301338,10747157086,TOTAL
379,Andhra Pradesh,2022,2,516001,4927880,12452111308,TOTAL
380,Andhra Pradesh,2022,3,530026,10427710,24452749355,TOTAL
381,Andhra Pradesh,2022,3,517501,9028550,16685152652,TOTAL
382,Andhra Pradesh,2022,3,517507,7638906,14893051969,TOTAL
383,Andhra Pradesh,2022,3,524002,6897466,17798259712,TOTAL
384,Andhra Pradesh,2022,3,522001,6608575,14799455202,TOTAL
385,Andhra Pradesh,2022,3,520002,6370783,17359205739,TOTAL
386,Andhra Pradesh,2022,3,530016,6352195,11280121650,TOTAL
387,Andhra Pradesh,2022,3,515001,6120942,12350133591,TOTAL
388,Andhra Pradesh,2022,3,520010,5372903,10801020195,TOTAL
389,Andhra Pradesh,2022,3,516001,5350632,13517253500,TOTAL
