State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
ladakh,2019,2,Others,907,992737.2376
ladakh,2019,3,Peer-to-peer payments,43198,303596367.7
ladakh,2019,3,Recharge & bill payments,41491,18054746.12
ladakh,2019,3,Merchant payments,6963,8096082.971
ladakh,2019,3,Financial Services,48,148633.2947
ladakh,2019,3,Others,696,1233697.127
ladakh,2019,1,Peer-to-peer payments,22076,139715922.2
ladakh,2019,1,Recharge & bill payments,20014,7186109.182
ladakh,2019,1,Merchant payments,3238,4967122.5
ladakh,2019,1,Financial Services,114,111851.0286
ladakh,2019,1,Others,703,878916.0496
chhattisgarh,2020,4,Peer-to-peer payments,14257312,50812302053
chhattisgarh,2020,4,Merchant payments,11677743,8238390462
chhattisgarh,2020,4,Recharge & bill payments,9423324,3033918783
chhattisgarh,2020,4,Financial Services,41308,48082346.06
chhattisgarh,2020,4,Others,129949,82280639.52
chhattisgarh,2020,2,Recharge & bill payments,8366200,2504355747
chhattisgarh,2020,2,Peer-to-peer payments,7216219,27351810048
chhattisgarh,2020,2,Merchant payments,3158417,2361252112
chhattisgarh,2020,2,Financial Services,19986,17814454.61
chhattisgarh,2020,2,Others,60103,33149845.44
chhattisgarh,2020,3,Peer-to-peer payments,9734445,34661165923
chhattisgarh,2020,3,Recharge & bill payments,8705513,2790720003
chhattisgarh,2020,3,Merchant payments,5591916,3990179454
chhattisgarh,2020,3,Financial Services,34893,39141096.45
chhattisgarh,2020,3,Others,81772,45538330.63
chhattisgarh,2020,1,Peer-to-peer payments,8109789,28723854869
chhattisgarh,2020,1,Recharge & bill payments,6400067,1688995018
chhattisgarh,2020,1,Merchant payments,4923214,2393811867
chhattisgarh,2020,1,Financial Services,12424,7378557.223
chhattisgarh,2020,1,Others,78497,46557359.68
chhattisgarh,2021,4,Merchant payments,40526025,29283695601
chhattisgarh,2021,4,Peer-to-peer payments,32799167,1.02178E+11
chhattisgarh,2021,4,Recharge & bill payments,11115444,4724827140
chhattisgarh,2021,4,Financial Services,55237,66445873.3
chhattisgarh,2021,4,Others,221621,146144588.7
chhattisgarh,2021,2,Peer-to-peer payments,18387345,62134058797
chhattisgarh,2021,2,Merchant payments,15369311,12828590762
chhattisgarh,2021,2,Recharge & bill payments,10764784,3640692364
chhattisgarh,2021,2,Financial Services,40213,39620256.36
chhattisgarh,2021,2,Others,127767,85809079.55
chhattisgarh,2021,3,Merchant payments,27552743,19905616747
chhattisgarh,2021,3,Peer-to-peer payments,25447410,80506858751
chhattisgarh,2021,3,Recharge & bill payments,11039088,4045490947
chhattisgarh,2021,3,Financial Services,38817,48855662.4
chhattisgarh,2021,3,Others,159880,99286155
chhattisgarh,2021,1,Peer-to-peer payments,15621154,55638916992
chhattisgarh,2021,1,Merchant payments,15222763,10661449529
chhattisgarh,2021,1,Recharge & bill payments,8456094,3000977539
chhattisgarh,2021,1,Financial Services,37395,40387648.84
chhattisgarh,2021,1,Others,99031,68111552.62
chhattisgarh,2018,4,Recharge & bill payments,2438959,554514488.4
chhattisgarh,2018,4,Peer-to-peer payments,2342713,8450105299
chhattisgarh,2018,4,Merchant payments,458091,331842964.6
chhattisgarh,2018,4,Financial Services,42199,9709810.436
chhattisgarh,2018,4,Others,83882,70240102.06
chhattisgarh,2018,2,Recharge & bill payments,1643461,351709628.1
chhattisgarh,2018,2,Peer-to-peer payments,933066,3703114548
chhattisgarh,2018,2,Merchant payments,118438,129967815.2
chhattisgarh,2018,2,Financial Services,40299,9405941.627
chhattisgarh,2018,2,Others,80892,69972510.6
chhattisgarh,2018,3,Recharge & bill payments,1911374,443460556.8
chhattisgarh,2018,3,Peer-to-peer payments,1619886,5647949188
chhattisgarh,2018,3,Merchant payments,220572,145342066
chhattisgarh,2018,3,Financial Services,31927,6195179.157
chhattisgarh,2018,3,Others,75845,59360083.75
chhattisgarh,2018,1,Recharge & bill payments,1177618,206518662.8
chhattisgarh,2018,1,Peer-to-peer payments,550697,1838238336
chhattisgarh,2018,1,Merchant payments,42411,39708474.16
chhattisgarh,2018,1,Financial Services,33002,7350624.274
chhattisgarh,2018,1,Others,87786,57339459.83
chhattisgarh,2022,4,Merchant payments,97405954,60247141798
chhattisgarh,2022,4,Peer-to-peer payments,63986789,1.83673E+11
chhattisgarh,2022,4,Recharge & bill payments,16324117,8376603987
chhattisgarh,2022,4,Financial Services,63695,81169069.23
chhattisgarh,2022,4,Others,179891,141385263.4
chhattisgarh,2022,2,Merchant payments,61093916,41536371584
chhattisgarh,2022,2,Peer-to-peer payments,42532112,1.33535E+11
chhattisgarh,2022,2,Recharge & bill payments,12737942,5949415520
chhattisgarh,2022,2,Financial Services,41530,46037703.16
chhattisgarh,2022,2,Others,178548,114905117.8
chhattisgarh,2022,3,Merchant payments,84355775,50874051122
chhattisgarh,2022,3,Peer-to-peer payments,57116149,1.61027E+11
chhattisgarh,2022,3,Recharge & bill payments,16538894,8069941553
chhattisgarh,2022,3,Financial Services,55775,61881709.74
chhattisgarh,2022,3,Others,185994,128469268.6
chhattisgarh,2022,1,Merchant payments,48236094,33822547183
chhattisgarh,2022,1,Peer-to-peer payments,37457039,1.18394E+11
chhattisgarh,2022,1,Recharge & bill payments,11466264,5442872986
chhattisgarh,2022,1,Financial Services,52918,55991695.31
chhattisgarh,2022,1,Others,200977,131773069.8
chhattisgarh,2019,4,Peer-to-peer payments,7241974,24112075521
chhattisgarh,2019,4,Recharge & bill payments,5112337,1257371455
chhattisgarh,2019,4,Merchant payments,3852716,1720930748
chhattisgarh,2019,4,Financial Services,14974,4665759.804
chhattisgarh,2019,4,Others,83757,48745253.9
chhattisgarh,2019,2,Peer-to-peer payments,4350167,15410038390
chhattisgarh,2019,2,Recharge & bill payments,3435305,855753107.5
chhattisgarh,2019,2,Merchant payments,1483870,654411637
chhattisgarh,2019,2,Financial Services,22563,4237631.554
chhattisgarh,2019,2,Others,98040,77914922.92
chhattisgarh,2019,3,Peer-to-peer payments,5021844,17584630268
chhattisgarh,2019,3,Recharge & bill payments,4335851,1069468754
chhattisgarh,2019,3,Merchant payments,2772084,1074255589
chhattisgarh,2019,3,Financial Services,16452,4542997.939
chhattisgarh,2019,3,Others,96880,70361559.29
chhattisgarh,2019,1,Peer-to-peer payments,4068056,11417366152
chhattisgarh,2019,1,Recharge & bill payments,2997095,679458794.5
chhattisgarh,2019,1,Merchant payments,710047,374735986.9
chhattisgarh,2019,1,Financial Services,33835,5075418.743
chhattisgarh,2019,1,Others,78636,67920032.8
rajasthan,2020,4,Peer-to-peer payments,88730951,3.21281E+11
rajasthan,2020,4,Merchant payments,67367264,46142484518
